,Hour,sugar, hr
0,0,3.1629568721256387,70.25579352536082
1,1,3.8581471547696946,68.4754738774757
2,2,1.1860815131524758,65.64341619929763
3,3,0.22678390453487876,64.12389597042409
4,4,6.666730987261855,64.10584697922918
5,5,5.283628717623042,65.84457661226953
6,6,9.68964482862506,73.92922903293086
7,7,9.41804443953339,81.75517870308806
8,8,8.63418703961782,83.60540468262376
9,9,10.357184740386376,81.72373952461483
10,10,8.037264128770303,83.23546670441971
11,11,7.207662937785006,83.72758259040073
12,12,6.406868603518992,82.81445810532124
13,13,6.835141352146488,84.3913705017441
14,14,9.31985696337955,87.87042291635426
15,15,11.0298776744626,85.91559150037804
16,16,8.139079201357475,85.44939488945496
17,17,5.58520152164377,84.63159019243851
18,18,7.824407128556524,82.33362802588101
19,19,7.164710978547735,82.43625177558252
20,20,9.653071133071622,83.38896501185343
21,21,10.826656764229726,78.29187295008245
22,22,6.9848128801410585,78.3654395852119
23,23,9.849979612899938,74.10127774556899
